id,first_name,last_name,password,position,salary,role
1,amir,bernstein,12345678,teacher,10,teacher
2,hen,biton,12345678,admin,10,admin
3,amira,bernsdtein,12345678,teacher,10,teacher
4,amira,bernsdtein,12345678,teacher,10,teacher
5,amira,bernsdtein,12345678,teacher,10,teacher
6,amira,bernsdtein,12345678,teacher,10,teacher
7,amira,bernsdtein,12345678,teacher,10,teacher
8,amira,bernsdtein,12345678,teacher,10,teacher
9,amira,bernsdtein,12345678,teacher,10,teacher
10,amira,bernsdtein,12345678,teacher,10,teacher
11,amira,bernsdtein,12345678,teacher,10,teacher
12,amira,bernsdtein,12345678,teacher,10,teacher
13,amira,bernsdtein,12345678,teacher,10,teacher
30,Max,TEST,3333333,student,0,admin
23,Elie,Maki,1234,student,5k,student
22,Max,Bador,3453,student,1,student
